Date,Total Stockholder Equity,Debt To Equity Ratio,Adjusted Debt To Equity Ratio,Current Ratio,Total Assets,Total Current Assets,Cash And Cash Equivalents,Cash,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Non Current Assets,Property Plant Equipment,Long Term Investments,Goodwill,Intangible Assets,Other Assets,Total Liabilities,Total Current Liabilities,Accounts Payable,Other Current Liabilities,Total Non Current Liabilities,Long Term Debt,Deferred Long Term Asset Charges,Other Liabilities,Net Tangible Assets,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Other Stockholder Equity,Common Stock,Short Long Term Debt
2022-01-31,58131000000.0,0.6378352342123824,3.637237590739651,1.04874242702405,95209000000.0,22850000000.0,10537000000.0,5464000000.0,5073000000.0,9739000000.0,,1454000000.0,72359000000.0,5695000000.0,4784000000.0,47937000000.0,8978000000.0,4965000000.0,37078000000.0,21788000000.0,2956000000.0,15628000000.0,15290000000.0,10592000000.0,2544000000.0,1724000000.0,1216000000.0,7377000000.0,-166000000.0,-166000000.0,1000000.0,4000000.0
2021-01-31,41493000000.0,0.597883980430434,1.6347940691927512,1.2347134476534296,66301000000.0,21889000000.0,11966000000.0,6195000000.0,5771000000.0,7786000000.0,,1146000000.0,44412000000.0,5663000000.0,3909000000.0,26318000000.0,4114000000.0,4408000000.0,24808000000.0,17728000000.0,2616000000.0,12607000000.0,7080000000.0,2673000000.0,2651000000.0,1472000000.0,11061000000.0,5933000000.0,-42000000.0,-42000000.0,1000000.0,4000000.0
2020-01-31,33885000000.0,0.6268555407997639,2.4272654553765283,1.0753115527113506,55126000000.0,15963000000.0,7947000000.0,4145000000.0,3802000000.0,6174000000.0,,926000000.0,39163000000.0,5415000000.0,1963000000.0,25134000000.0,4724000000.0,1927000000.0,21241000000.0,14845000000.0,1876000000.0,10662000000.0,6396000000.0,2673000000.0,486000000.0,946000000.0,4027000000.0,1861000000.0,-93000000.0,-93000000.0,1000000.0,4000000.0
2019-01-31,15605000000.0,0.9696892021787888,5.494553376906318,0.9491781430475345,30737000000.0,10683000000.0,4342000000.0,2669000000.0,1673000000.0,5139000000.0,,830000000.0,20054000000.0,2051000000.0,1302000000.0,12851000000.0,2497000000.0,1353000000.0,15132000000.0,11255000000.0,2461000000.0,8581000000.0,3877000000.0,3173000000.0,,511000000.0,257000000.0,1735000000.0,-58000000.0,-58000000.0,1000000.0,
