Date,Operating Cashflow,Operating Cashflow Ratio,Capital Expenditures,Free Cashflow,Free Cashflow Ratio,Net Income,Depreciation,Change To Account Receivables,Change To Operating Activities,Investing Cashflow,Investments,Other Cashflows From Investing Activities,Total Cash From Financing Activities,Repurchase Of Stock,Net Borrowings,Other Cashflows From Financing Activities,Change In Cash,Effect Of Exchange Rate,Change To Liabilities,Change To Net Income
2022-06-30,-6390000.0,-0.12277600584098682,-6141000.0,-12531000.0,-0.24076778234638588,2397000.0,2310000.0,,-9449000.0,-6275000.0,,-549000.0,13555000.0,-7000.0,14216000.0,-654000.0,883000.0,-7000.0,0.0,-2065000.0
2022-03-31,4976000.0,0.09584529152300787,-2076000.0,2900000.0,0.0558583893522353,1330000.0,2457000.0,,123000.0,-3084000.0,,-549000.0,-459000.0,-7000.0,-29000.0,-430000.0,1581000.0,148000.0,0.0,1066000.0
2021-12-31,-3343000.0,-0.07957818562688948,-981000.0,-4324000.0,-0.1029303244542836,762000.0,2086000.0,,-6324000.0,-22755000.0,,5000.0,19184000.0,-7000.0,14805000.0,-678000.0,-6850000.0,64000.0,0.0,133000.0
2021-09-30,-1493000.0,-0.038896415172988745,-460000.0,-1953000.0,-0.0508805752396832,618000.0,1961000.0,,-5388000.0,-533000.0,,31000.0,-1511000.0,-7000.0,-1285000.0,-436000.0,-3641000.0,-104000.0,0.0,1316000.0
