Date,Operating Cashflow,Operating Cashflow Ratio,Capital Expenditures,Free Cashflow,Free Cashflow Ratio,Net Income,Depreciation,Change To Account Receivables,Change To Operating Activities,Investing Cashflow,Investments,Other Cashflows From Investing Activities,Total Cash From Financing Activities,Repurchase Of Stock,Net Borrowings,Other Cashflows From Financing Activities,Change In Cash,Effect Of Exchange Rate,Change To Liabilities,Change To Net Income
2021-12-31,91652000000.0,0.35574082915109245,-24640000000.0,67012000000.0,0.2601023921253547,76033000000.0,12430000000.0,-9095000000.0,7140000000.0,-35523000000.0,-8806000000.0,541000000.0,-61362000000.0,-50274000000.0,-1236000000.0,-9852000000.0,-5520000000.0,-287000000.0,1057000000.0,4712000000.0
2020-12-31,65124000000.0,0.35679105009121936,-22281000000.0,42843000000.0,0.23472143847211646,40269000000.0,13679000000.0,-6524000000.0,5813000000.0,-32773000000.0,-9822000000.0,68000000.0,-24408000000.0,-31149000000.0,9661000000.0,-2920000000.0,7967000000.0,24000000.0,1329000000.0,9349000000.0
2019-12-31,54520000000.0,0.33684054443119543,-23548000000.0,30972000000.0,0.19135409651729612,34343000000.0,11651000000.0,-4340000000.0,7822000000.0,-29491000000.0,-4017000000.0,589000000.0,-23209000000.0,-18396000000.0,-268000000.0,-4545000000.0,1797000000.0,-23000000.0,465000000.0,7707000000.0
2018-12-31,47971000000.0,0.3506165079411485,-25139000000.0,22832000000.0,0.1668774073776303,30736000000.0,9029000000.0,-2169000000.0,7890000000.0,-28504000000.0,-1972000000.0,98000000.0,-13179000000.0,-9075000000.0,-61000000.0,-4043000000.0,5986000000.0,-302000000.0,1438000000.0,3298000000.0
