Date,Total Stockholder Equity,Debt To Equity Ratio,Adjusted Debt To Equity Ratio,Current Ratio,Total Assets,Total Current Assets,Cash And Cash Equivalents,Cash,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Non Current Assets,Property Plant Equipment,Long Term Investments,Goodwill,Intangible Assets,Other Assets,Total Liabilities,Total Current Liabilities,Accounts Payable,Other Current Liabilities,Total Non Current Liabilities,Long Term Debt,Deferred Long Term Asset Charges,Other Liabilities,Net Tangible Assets,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Other Stockholder Equity,Common Stock,Short Long Term Debt
2022-06-30,125767000000.0,0.34994871468668254,0.4170251473402945,2.5200072016923976,169779000000.0,55987000000.0,40489000000.0,12681000000.0,27808000000.0,11525000000.0,,228000000.0,113792000000.0,81718000000.0,6536000000.0,20229000000.0,965000000.0,4344000000.0,44012000000.0,22217000000.0,4008000000.0,1514000000.0,21795000000.0,,,6469000000.0,104573000000.0,69249000000.0,-3411000000.0,-3411000000.0,,
2022-03-31,123228000000.0,0.3326354399974032,0.39678621557523835,2.8106326472541023,164218000000.0,59265000000.0,43890000000.0,14886000000.0,29004000000.0,11390000000.0,,294000000.0,104953000000.0,73823000000.0,6775000000.0,19923000000.0,910000000.0,3522000000.0,40990000000.0,21086000000.0,3246000000.0,1455000000.0,19904000000.0,,,6486000000.0,102395000000.0,67712000000.0,-1996000000.0,-1996000000.0,,
2021-12-31,124879000000.0,0.3291826488040423,0.38897825552128085,3.154293825408091,165987000000.0,66666000000.0,47998000000.0,16601000000.0,31397000000.0,14039000000.0,,149000000.0,99321000000.0,69964000000.0,6775000000.0,19197000000.0,634000000.0,2751000000.0,41108000000.0,21135000000.0,4083000000.0,12698000000.0,19973000000.0,,,6721000000.0,105048000000.0,69761000000.0,-693000000.0,-693000000.0,,
2021-09-30,133360000000.0,0.27163317336532694,0.3169429983813815,4.23428026049854,169585000000.0,75421000000.0,58075000000.0,14496000000.0,43579000000.0,12088000000.0,,195000000.0,94164000000.0,64789000000.0,6758000000.0,19065000000.0,365000000.0,3187000000.0,36225000000.0,17812000000.0,2195000000.0,1373000000.0,18413000000.0,,,6352000000.0,113930000000.0,79233000000.0,-207000000.0,-207000000.0,,
