Date,Operating Cashflow,Operating Cashflow Ratio,Capital Expenditures,Free Cashflow,Free Cashflow Ratio,Net Income,Depreciation,Change To Account Receivables,Change To Operating Activities,Investing Cashflow,Investments,Other Cashflows From Investing Activities,Total Cash From Financing Activities,Repurchase Of Stock,Net Borrowings,Other Cashflows From Financing Activities,Change In Cash,Effect Of Exchange Rate,Change To Liabilities,Change To Net Income
2022-06-30,12196000000.0,0.42314898341544654,-7572000000.0,4624000000.0,0.16043300256748316,6687000000.0,1979000000.0,-522000000.0,704000000.0,-6959000000.0,939000000.0,-7000000.0,-6563000000.0,-6235000000.0,-298000000.0,-30000000.0,-1875000000.0,-549000000.0,261000000.0,3087000000.0
2022-03-31,14076000000.0,0.5043715063780995,-5441000000.0,8635000000.0,0.30940948831876164,7465000000.0,2156000000.0,2557000000.0,1118000000.0,-4779000000.0,1399000000.0,-10000000.0,-10660000000.0,-10431000000.0,-213000000.0,-16000000.0,-1512000000.0,-149000000.0,-934000000.0,1714000000.0
2021-12-31,18104000000.0,0.5376733687743162,-5369000000.0,12735000000.0,0.3782186451248849,10285000000.0,2014000000.0,-2038000000.0,3678000000.0,5829000000.0,11843000000.0,-124000000.0,-21742000000.0,-21569000000.0,-173000000.0,-16000000.0,2061000000.0,-130000000.0,976000000.0,3189000000.0
2021-09-30,14090000000.0,0.48569458807307825,-4314000000.0,9776000000.0,0.33698724577731815,9194000000.0,1995000000.0,-555000000.0,1166000000.0,-330000000.0,4153000000.0,-98000000.0,-15252000000.0,-15033000000.0,-219000000.0,-16000000.0,-1707000000.0,-215000000.0,772000000.0,1519000000.0
