Date,Operating Cashflow,Operating Cashflow Ratio,Capital Expenditures,Free Cashflow,Free Cashflow Ratio,Net Income,Depreciation,Change To Account Receivables,Change To Operating Activities,Investing Cashflow,Investments,Other Cashflows From Investing Activities,Total Cash From Financing Activities,Repurchase Of Stock,Net Borrowings,Other Cashflows From Financing Activities,Change In Cash,Effect Of Exchange Rate,Change To Liabilities,Change To Net Income
2021-12-31,57683000000.0,0.4891332920655649,-18567000000.0,39116000000.0,0.3316911022734018,39370000000.0,7967000000.0,-3110000000.0,2187000000.0,-7570000000.0,12132000000.0,-284000000.0,-50728000000.0,-50052000000.0,-663000000.0,-13000000.0,-1089000000.0,-474000000.0,1623000000.0,9646000000.0
2020-12-31,38747000000.0,0.4507299482347467,-15115000000.0,23632000000.0,0.2749025766300238,29146000000.0,6862000000.0,-1512000000.0,-1302000000.0,-30059000000.0,-14520000000.0,-36000000.0,-10292000000.0,-9836000000.0,-580000000.0,124000000.0,-1325000000.0,279000000.0,91000000.0,5462000000.0
2019-12-31,36314000000.0,0.5136568737004399,-15102000000.0,21212000000.0,0.30004102012815254,18485000000.0,5741000000.0,-1961000000.0,8975000000.0,-19864000000.0,-4254000000.0,-36000000.0,-7299000000.0,-6539000000.0,-775000000.0,15000000.0,9155000000.0,4000000.0,236000000.0,4838000000.0
2018-12-31,29274000000.0,0.5242666284609048,-13915000000.0,15359000000.0,0.2750635767756725,22112000000.0,4315000000.0,-1892000000.0,91000000.0,-11603000000.0,2449000000.0,-36000000.0,-15572000000.0,-16087000000.0,500000000.0,15000000.0,1920000000.0,-179000000.0,274000000.0,4374000000.0
