Date,Operating Cashflow,Operating Cashflow Ratio,Capital Expenditures,Free Cashflow,Free Cashflow Ratio,Net Income,Depreciation,Change To Account Receivables,Change To Operating Activities,Investing Cashflow,Investments,Other Cashflows From Investing Activities,Total Cash From Financing Activities,Repurchase Of Stock,Net Borrowings,Other Cashflows From Financing Activities,Change In Cash,Effect Of Exchange Rate,Change To Liabilities,Change To Net Income
2022-01-31,6000000000.0,0.2264834667069304,-717000000.0,5283000000.0,0.1994186924354522,1444000000.0,2462000000.0,-1824000000.0,-2970000000.0,-14536000000.0,1057000000.0,,7838000000.0,,6549000000.0,,-731000000.0,-33000000.0,3136000000.0,1568000000.0
2021-01-31,4801000000.0,0.2259081498211933,-710000000.0,4091000000.0,0.1924995294560512,4072000000.0,2846000000.0,-1556000000.0,-2608000000.0,-3971000000.0,-1980000000.0,,1194000000.0,,-107000000.0,-20000000.0,2050000000.0,26000000.0,2972000000.0,-1983000000.0
2020-01-31,4331000000.0,0.2533044800561469,-643000000.0,3688000000.0,0.21569774242601475,126000000.0,2135000000.0,-1000000000.0,-1977000000.0,-2980000000.0,-1968000000.0,,164000000.0,,-676000000.0,-20000000.0,1476000000.0,-39000000.0,2647000000.0,1524000000.0
2019-01-31,3398000000.0,0.255834964613763,-595000000.0,2803000000.0,0.21103749435326005,1110000000.0,982000000.0,-923000000.0,-1039000000.0,-5308000000.0,402000000.0,,2010000000.0,,1306000000.0,-20000000.0,126000000.0,26000000.0,1790000000.0,741000000.0
