Date,Total Stockholder Equity,Debt To Equity Ratio,Adjusted Debt To Equity Ratio,Current Ratio,Total Assets,Total Current Assets,Cash And Cash Equivalents,Cash,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Non Current Assets,Property Plant Equipment,Long Term Investments,Goodwill,Intangible Assets,Other Assets,Total Liabilities,Total Current Liabilities,Accounts Payable,Other Current Liabilities,Total Non Current Liabilities,Long Term Debt,Deferred Long Term Asset Charges,Other Liabilities,Net Tangible Assets,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Other Stockholder Equity,Common Stock,Short Long Term Debt
2022-07-31,60098000000.0,0.5665745948284469,2.95316565481353,1.0580677290836653,94148000000.0,21246000000.0,13533000000.0,6931000000.0,6602000000.0,4745000000.0,,1531000000.0,72902000000.0,6102000000.0,5124000000.0,48568000000.0,8072000000.0,5036000000.0,34050000000.0,20080000000.0,3562000000.0,12825000000.0,13970000000.0,9416000000.0,2617000000.0,1544000000.0,3458000000.0,7473000000.0,-355000000.0,-355000000.0,1000000.0,1183000000.0
2022-04-30,58876000000.0,0.5799646715130103,3.234441602728048,1.0257299361776975,93022000000.0,20411000000.0,13503000000.0,6859000000.0,6644000000.0,3952000000.0,,1478000000.0,72611000000.0,5781000000.0,4936000000.0,48319000000.0,8559000000.0,5016000000.0,34146000000.0,19899000000.0,2907000000.0,13636000000.0,14247000000.0,9595000000.0,2627000000.0,1628000000.0,1998000000.0,7405000000.0,-310000000.0,-310000000.0,1000000.0,1002000000.0
2022-01-31,58131000000.0,0.6378352342123824,3.637237590739651,1.04874242702405,95209000000.0,22850000000.0,10537000000.0,5464000000.0,5073000000.0,9739000000.0,,1454000000.0,72359000000.0,5695000000.0,4784000000.0,47937000000.0,8978000000.0,4965000000.0,37078000000.0,21788000000.0,2956000000.0,15628000000.0,15290000000.0,10592000000.0,2544000000.0,1724000000.0,1216000000.0,7377000000.0,-166000000.0,-166000000.0,1000000.0,4000000.0
2021-10-31,57054000000.0,0.5325130578048866,3.3375810172470612,1.0613235783172597,87436000000.0,15957000000.0,9391000000.0,4753000000.0,4638000000.0,4019000000.0,,1242000000.0,71479000000.0,5677000000.0,4004000000.0,47951000000.0,9472000000.0,4375000000.0,30382000000.0,15035000000.0,4187000000.0,10116000000.0,15347000000.0,10591000000.0,2437000000.0,1741000000.0,-369000000.0,7405000000.0,-122000000.0,-122000000.0,1000000.0,20000000.0
