Date,Total Stockholder Equity,Debt To Equity Ratio,Adjusted Debt To Equity Ratio,Current Ratio,Total Assets,Total Current Assets,Cash And Cash Equivalents,Cash,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Non Current Assets,Property Plant Equipment,Long Term Investments,Goodwill,Intangible Assets,Other Assets,Total Liabilities,Total Current Liabilities,Accounts Payable,Other Current Liabilities,Total Non Current Liabilities,Long Term Debt,Deferred Long Term Asset Charges,Other Liabilities,Net Tangible Assets,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Other Stockholder Equity,Common Stock,Short Long Term Debt
2022-06-30,917500000.0,1.5594550408719345,2.2874500399680255,1.107069837512106,2348500000.0,1028800000.0,,642200000.0,,20600000.0,259500000.0,106500000.0,1319700000.0,844100000.0,,292000000.0,98700000.0,84900000.0,1430800000.0,929300000.0,539600000.0,326100000.0,501500000.0,158000000.0,53700000.0,31900000.0,526800000.0,289300000.0,-25900000.0,100400000.0,173900000.0,
2022-03-31,828100000.0,1.7954353338968723,2.7215815485996706,1.1362968765299128,2315500000.0,1160500000.0,,795700000.0,,22000000.0,246100000.0,96700000.0,1155000000.0,700500000.0,,281800000.0,88100000.0,84600000.0,1486800000.0,1021300000.0,567800000.0,453500000.0,465500000.0,156600000.0,56900000.0,12500000.0,458200000.0,226000000.0,428200000.0,554500000.0,173900000.0,
2021-12-31,895700000.0,1.4647761527297085,2.1106821106821108,1.3971889010056948,2208600000.0,1153100000.0,,827100000.0,,52800000.0,220400000.0,11900000.0,1055500000.0,618600000.0,,274100000.0,82600000.0,80200000.0,1312000000.0,825300000.0,440700000.0,216300000.0,486700000.0,155200000.0,52800000.0,74500000.0,539000000.0,199100000.0,40100000.0,41400000.0,173900000.0,
2021-09-30,835100000.0,1.5145491557897257,2.0519143413367944,1.5506710996182735,2099600000.0,1259300000.0,,955100000.0,,37500000.0,187600000.0,79100000.0,840300000.0,480400000.0,6100000.0,218700000.0,59100000.0,76000000.0,1264800000.0,812100000.0,456500000.0,355600000.0,452700000.0,153900000.0,51700000.0,16700000.0,557300000.0,151000000.0,510200000.0,512200000.0,173900000.0,
