Date,Operating Cashflow,Operating Cashflow Ratio,Capital Expenditures,Free Cashflow,Free Cashflow Ratio,Adjusted Operating Cashflow,Adjusted Operating Cashflow Ratio,Adjusted Free Cashflow,Adjusted Free Cashflow Ratio,Net Income,Depreciation,Change To Account Receivables,Change To Operating Activities,Investing Cashflow,Investments,Other Cashflows From Investing Activities,Total Cash From Financing Activities,Repurchase Of Stock,Net Borrowings,Other Cashflows From Financing Activities,Change In Cash,Effect Of Exchange Rate,Change To Liabilities,Change To Net Income
2021-12-31,458600000.0,0.07651750258617813,-234500000.0,224100000.0,0.037391130243267595,332500000.0,0.055477692128007475,98000000.0,0.01635131978509694,256100000.0,76400000.0,13400000.0,-12100000.0,-321600000.0,,2700000.0,-62700000.0,-39300000.0,-26900000.0,-1100000.0,98100000.0,23800000.0,138500000.0,57000000.0
2020-12-31,601500000.0,0.1604042774473986,-74400000.0,527100000.0,0.1405637483666231,412200000.0,0.10992293127816742,337800000.0,0.09008240219739193,369000000.0,43200000.0,-20500000.0,11100000.0,-210500000.0,,1200000.0,163400000.0,-39300000.0,153500000.0,-4200000.0,535400000.0,-19000000.0,207700000.0,61100000.0
2019-12-31,42200000.0,0.023327805417357655,-31500000.0,10700000.0,0.005914870093974571,24800000.0,0.013709231619679381,-6700000.0,-0.003703703703703704,-10200000.0,35000000.0,500000.0,-3200000.0,-29000000.0,,7200000.0,-14800000.0,-39300000.0,-15000000.0,-4200000.0,-300000.0,1300000.0,28000000.0,8700000.0
2018-12-31,-50200000.0,-0.0392432770481551,-20800000.0,-71000000.0,-0.05550343964978111,-73000000.0,-0.05706691682301438,-93800000.0,-0.0733270794246404,-82500000.0,9500000.0,6500000.0,-1500000.0,-66900000.0,,-3500000.0,-29100000.0,-39300000.0,-30000000.0,-4200000.0,-146000000.0,200000.0,18400000.0,2200000.0
