Date,Total Stockholder Equity,Debt To Equity Ratio,Adjusted Debt To Equity Ratio,Current Ratio,Total Assets,Total Current Assets,Cash And Cash Equivalents,Cash,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Non Current Assets,Property Plant Equipment,Long Term Investments,Goodwill,Intangible Assets,Other Assets,Total Liabilities,Total Current Liabilities,Accounts Payable,Other Current Liabilities,Total Non Current Liabilities,Long Term Debt,Deferred Long Term Asset Charges,Other Liabilities,Net Tangible Assets,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Other Stockholder Equity,Common Stock,Short Long Term Debt
2021-12-31,895700000.0,1.4647761527297085,2.1106821106821108,1.3971889010056948,2208600000.0,1153100000.0,,827100000.0,,52800000.0,220400000.0,11900000.0,1055500000.0,618600000.0,,274100000.0,82600000.0,80200000.0,1312000000.0,825300000.0,440700000.0,216300000.0,486700000.0,155200000.0,52800000.0,74500000.0,539000000.0,199100000.0,40100000.0,41400000.0,173900000.0,
2020-12-31,656400000.0,1.3248019500304693,1.933303690529124,1.77375913813005,1525600000.0,922000000.0,,729000000.0,,53000000.0,113700000.0,3500000.0,603600000.0,263100000.0,9000000.0,206600000.0,58300000.0,66600000.0,869600000.0,519800000.0,291700000.0,148000000.0,349800000.0,151400000.0,45200000.0,75000000.0,391500000.0,-57000000.0,58000000.0,60800000.0,173900000.0,
2019-12-31,246100000.0,1.320195042665583,1.6534351145038169,1.3166510757717493,570200000.0,281500000.0,,193600000.0,,27900000.0,44100000.0,2500000.0,288700000.0,179600000.0,22100000.0,49600000.0,15200000.0,22200000.0,324900000.0,213800000.0,135900000.0,60200000.0,111100000.0,2900000.0,1800000.0,108200000.0,181300000.0,-426000000.0,52400000.0,55100000.0,164600000.0,
2018-12-31,237200000.0,0.6720067453625632,0.837624802942722,1.7418909592822636,396100000.0,252400000.0,,193900000.0,,18500000.0,22500000.0,7300000.0,143700000.0,62400000.0,,46900000.0,12300000.0,22100000.0,159400000.0,144900000.0,105200000.0,24300000.0,14500000.0,500000.0,1700000.0,14000000.0,178000000.0,-411600000.0,26200000.0,34100000.0,164400000.0,
