Date,Total Stockholder Equity,Debt To Equity Ratio,Adjusted Debt To Equity Ratio,Current Ratio,Total Assets,Total Current Assets,Cash And Cash Equivalents,Cash,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Non Current Assets,Property Plant Equipment,Long Term Investments,Goodwill,Intangible Assets,Other Assets,Total Liabilities,Total Current Liabilities,Accounts Payable,Other Current Liabilities,Total Non Current Liabilities,Long Term Debt,Deferred Long Term Asset Charges,Other Liabilities,Net Tangible Assets,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Other Stockholder Equity,Common Stock,Short Long Term Debt
2021-09-25,63090000000.0,4.563512442542399,,1.0745531195957954,351002000000.0,134836000000.0,62639000000.0,34940000000.0,27699000000.0,51506000000.0,6580000000.0,14111000000.0,216166000000.0,49527000000.0,127877000000.0,,,38762000000.0,287912000000.0,125481000000.0,54763000000.0,53577000000.0,162431000000.0,109106000000.0,,43050000000.0,63090000000.0,5562000000.0,163000000.0,163000000.0,57365000000.0,9613000000.0
2020-09-26,65339000000.0,3.957039440456695,,1.3636044481554577,323888000000.0,143713000000.0,90943000000.0,38016000000.0,52927000000.0,37445000000.0,4061000000.0,11264000000.0,180175000000.0,45336000000.0,100887000000.0,,,33952000000.0,258549000000.0,105392000000.0,42296000000.0,47867000000.0,153157000000.0,98667000000.0,,46108000000.0,65339000000.0,14966000000.0,-406000000.0,-406000000.0,50779000000.0,8773000000.0
2019-09-28,90488000000.0,2.7410043320661304,,1.540125617208044,338516000000.0,162819000000.0,100557000000.0,48844000000.0,51713000000.0,45804000000.0,4106000000.0,12352000000.0,175697000000.0,37378000000.0,105341000000.0,,,32978000000.0,248028000000.0,105718000000.0,46236000000.0,43242000000.0,142310000000.0,91807000000.0,,50503000000.0,90488000000.0,45898000000.0,-584000000.0,-584000000.0,45174000000.0,10260000000.0
2018-09-29,107147000000.0,2.4133013523477094,,1.1329261875803294,365725000000.0,131339000000.0,66301000000.0,25913000000.0,40388000000.0,48995000000.0,3956000000.0,12087000000.0,234386000000.0,41304000000.0,170799000000.0,,,22283000000.0,258578000000.0,115929000000.0,55888000000.0,39293000000.0,142649000000.0,93735000000.0,,48914000000.0,107147000000.0,70400000000.0,-3454000000.0,-3454000000.0,40201000000.0,8784000000.0
