Date,Operating Cashflow,Operating Cashflow Ratio,Capital Expenditures,Free Cashflow,Free Cashflow Ratio,Adjusted Operating Cashflow,Adjusted Operating Cashflow Ratio,Adjusted Free Cashflow,Adjusted Free Cashflow Ratio,Net Income,Depreciation,Change To Account Receivables,Change To Operating Activities,Investing Cashflow,Investments,Other Cashflows From Investing Activities,Total Cash From Financing Activities,Repurchase Of Stock,Net Borrowings,Other Cashflows From Financing Activities,Change In Cash,Effect Of Exchange Rate,Change To Liabilities,Change To Net Income
2022-06-25,22892000000.0,0.2759435383743777,-2102000000.0,20790000000.0,0.25060572089827504,22247000000.0,0.2681686134114442,20145000000.0,0.24283079593534154,19442000000.0,2805000000.0,-981000000.0,2497000000.0,4234000000.0,6953000000.0,-615000000.0,-27445000000.0,-24562000000.0,971000000.0,-43000000.0,-319000000.0,,-4725000000.0,3870000000.0
2022-03-26,28166000000.0,0.28954131458294785,-2514000000.0,25652000000.0,0.26369785563025555,27747000000.0,0.2852340714241658,25233000000.0,0.2593906124714735,25010000000.0,2737000000.0,9476000000.0,9486000000.0,-9265000000.0,-6390000000.0,-194000000.0,-28351000000.0,-22961000000.0,-1751000000.0,-44000000.0,-9450000000.0,,-21398000000.0,2471000000.0
2021-12-25,46966000000.0,0.3789261365928436,-2803000000.0,44163000000.0,0.3563112670942757,37327000000.0,0.3011577715922385,34524000000.0,0.27854290209367055,34630000000.0,2697000000.0,-3934000000.0,-10497000000.0,-16106000000.0,-12929000000.0,-374000000.0,-28159000000.0,-23366000000.0,-1000000000.0,-61000000.0,2701000000.0,,20275000000.0,3114000000.0
2021-09-25,20200000000.0,0.2423224568138196,-3223000000.0,16977000000.0,0.2036588291746641,23540000000.0,0.28238963531669864,20317000000.0,0.24372600767754318,20551000000.0,2989000000.0,-8809000000.0,-5602000000.0,835000000.0,4608000000.0,-530000000.0,-20382000000.0,-20449000000.0,3220000000.0,-57000000.0,653000000.0,,14050000000.0,-1550000000.0
