Date,Total Stockholder Equity,Debt To Equity Ratio,Adjusted Debt To Equity Ratio,Current Ratio,Total Assets,Total Current Assets,Cash And Cash Equivalents,Cash,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Non Current Assets,Property Plant Equipment,Long Term Investments,Goodwill,Intangible Assets,Other Assets,Total Liabilities,Total Current Liabilities,Accounts Payable,Other Current Liabilities,Total Non Current Liabilities,Long Term Debt,Deferred Long Term Asset Charges,Other Liabilities,Net Tangible Assets,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Other Stockholder Equity,Common Stock,Short Long Term Debt
2022-06-30,96428000.0,1.1328141203799726,1.8591292804139152,1.8427861154589817,205663000.0,80058000.0,,7382000.0,,48269000.0,20171000.0,,125605000.0,31644000.0,,37672000.0,47001000.0,9288000.0,109235000.0,43444000.0,13058000.0,16383000.0,65791000.0,46072000.0,6889000.0,4692000.0,11755000.0,-40085000.0,6486000.0,6486000.0,130027000.0,1563000.0
2022-03-31,90036000.0,0.9192989470878316,1.6223049784398276,1.823045611687298,172806000.0,65389000.0,,6499000.0,,40169000.0,13095000.0,,107417000.0,19785000.0,,39016000.0,46774000.0,1842000.0,82770000.0,35868000.0,10533000.0,13023000.0,46902000.0,31140000.0,428000.0,5140000.0,4246000.0,-42482000.0,4183000.0,4183000.0,128335000.0,367000.0
2021-12-31,89469000.0,0.8691725625635695,1.5476654858098158,2.109139402560455,167233000.0,59309000.0,,4918000.0,,37667000.0,12777000.0,,107924000.0,18936000.0,,39223000.0,48075000.0,1690000.0,77764000.0,28120000.0,6713000.0,11186000.0,49644000.0,30470000.0,272000.0,7992000.0,2171000.0,-43812000.0,4946000.0,4946000.0,128335000.0,472000.0
2021-09-30,81330000.0,0.7093815320300012,1.1348374279588505,1.9899736682195666,139024000.0,58947000.0,,11768000.0,,32762000.0,11633000.0,,80077000.0,15593000.0,,30491000.0,32427000.0,1566000.0,57694000.0,29622000.0,6845000.0,8724000.0,28072000.0,12324000.0,144000.0,6648000.0,18412000.0,-44574000.0,5879000.0,5879000.0,120025000.0,2998000.0
