Date,Total Revenue,Cost Of Revenue,Gross Profit,Gross Margin,Selling General Administrative,Research Development,Other Items,Other Operating Expenses,Total Operating Expenses,Operating Income,Operating Margin,Effect Of Accounting Charges,Extraordinary Items,Total Other Income Expense Net,Ebit,Interest Expense,Income Before Tax,Income Tax Expense,Net Income,Net Margin,Net Income From Continuing Ops,Non Recurring,Net Income Applicable To Common Shares,Minority Interest,Discontinued Operations
2022-06-30,52046000.0,38583000.0,13463000.0,0.2586750182530838,9667000.0,,,-569000.0,50408000.0,1638000.0,0.03147215924374592,,,-3121000.0,1638000.0,-760000.0,-1483000.0,-3880000.0,2397000.0,0.04605541251969412,2397000.0,,2397000.0,,
2022-03-31,51917000.0,37789000.0,14128000.0,0.2721266637132346,9098000.0,,,-43000.0,49301000.0,2616000.0,0.05038811949843019,,,-1247000.0,2616000.0,-564000.0,1369000.0,39000.0,1330000.0,0.025617813047749294,1330000.0,,1330000.0,,
2021-12-31,42009000.0,30913000.0,11096000.0,0.2641338760741746,7526000.0,,,-6000.0,40519000.0,1490000.0,0.0354685900640339,,,-645000.0,1490000.0,-500000.0,845000.0,83000.0,762000.0,0.018138970220667,762000.0,,762000.0,,
2021-09-30,38384000.0,27464000.0,10920000.0,0.28449353897457275,7085000.0,,,-6000.0,36504000.0,1880000.0,0.04897874114214256,,,-1122000.0,1880000.0,-568000.0,758000.0,140000.0,618000.0,0.016100458524385162,618000.0,,618000.0,,
