Date,Total Stockholder Equity,Debt To Equity Ratio,Adjusted Debt To Equity Ratio,Current Ratio,Total Assets,Total Current Assets,Cash And Cash Equivalents,Cash,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Non Current Assets,Property Plant Equipment,Long Term Investments,Goodwill,Intangible Assets,Other Assets,Total Liabilities,Total Current Liabilities,Accounts Payable,Other Current Liabilities,Total Non Current Liabilities,Long Term Debt,Deferred Long Term Asset Charges,Other Liabilities,Net Tangible Assets,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Other Stockholder Equity,Common Stock,Short Long Term Debt
2022-06-30,96428000.0,1.1328141203799726,1.8591292804139152,1.8427861154589817,205663000.0,80058000.0,,7382000.0,,48269000.0,20171000.0,,125605000.0,31644000.0,,37672000.0,47001000.0,9288000.0,109235000.0,43444000.0,13058000.0,16383000.0,65791000.0,46072000.0,6889000.0,4692000.0,11755000.0,-40085000.0,6486000.0,6486000.0,130027000.0,1563000.0
2021-06-30,79395000.0,0.7268341835128157,1.1732403529459603,1.9792907702011353,137102000.0,56485000.0,,15409000.0,,29722000.0,8486000.0,,80617000.0,15751000.0,,30209000.0,32544000.0,2113000.0,57707000.0,28538000.0,5356000.0,8461000.0,29169000.0,12941000.0,76000.0,6910000.0,16642000.0,-45192000.0,4807000.0,4807000.0,119780000.0,2975000.0
2020-06-30,68613000.0,0.768702723973591,1.2431177524276422,1.6147925267650969,121356000.0,46154000.0,,9439000.0,,27920000.0,7869000.0,,75202000.0,15841000.0,1592000.0,26185000.0,28605000.0,2979000.0,52743000.0,28582000.0,5094000.0,5102000.0,24161000.0,13766000.0,954000.0,2769000.0,13823000.0,-48311000.0,10052000.0,10052000.0,106872000.0,2782000.0
2019-06-30,50859000.0,0.6712282978430563,0.9717067061368553,1.4886419847037784,84997000.0,39123000.0,6227000.0,6206000.0,21000.0,25389000.0,6739000.0,,45874000.0,6552000.0,,15727000.0,21438000.0,2157000.0,34138000.0,26281000.0,4876000.0,4609000.0,7857000.0,6578000.0,144000.0,1279000.0,13694000.0,-44084000.0,5886000.0,5886000.0,89057000.0,1863000.0
